period,oversold,overbought,total_return_pct,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_capital
14,35,80,13.818937401947442,0.4587869563488434,-12.368646090857236,50.81967213114754,1.5965289264015474,61,11381.893740194744
10,25,75,7.411747030571204,0.2713821715326257,-26.947486980660056,53.44827586206896,1.3677768492084688,58,10741.17470305712
18,20,75,4.197878501322121,0.22370777922673082,-16.261889818074803,50.0,1.4774296140679046,18,10419.787850132212
18,25,75,3.930975550078729,0.20389903446640878,-19.37367410906674,44.0,1.387933382239099,25,10393.097555007873
16,20,80,2.371346414726595,0.14286993603006407,-6.913929267062629,55.55555555555556,1.4387160523971987,18,10237.13464147266
