period,train_start,train_end,test_start,test_end,param_fast_period,param_slow_period,train_metric,test_return,test_sharpe,test_max_dd,test_trades,test_win_rate
1,2023-01-01 00:00:00,2023-09-07 00:00:00,2023-09-08 00:00:00,2023-11-06 00:00:00,15,60,0.7959602304417136,-0.29955022488755273,-2.066684891481516,-0.14982503748125964,1,0.0
2,2023-03-02 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00,2024-01-05 00:00:00,15,50,0.9629801434951998,-1.3729990136712877,-2.3071769209380983,-1.3729990136712877,1,0.0
3,2023-05-01 00:00:00,2024-01-05 00:00:00,2024-01-06 00:00:00,2024-03-05 00:00:00,25,50,0.9064718501688241,3.926623405809878,1.9882449145574432,-0.14982503748124146,1,100.0
4,2023-06-30 00:00:00,2024-03-05 00:00:00,2024-03-06 00:00:00,2024-05-04 00:00:00,15,70,-1.0623094895198488,0.0,0.0,0.0,0,0.0
5,2023-08-29 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-07-03 00:00:00,15,60,0.8980792834156934,-0.29965002501248816,-2.066684891481516,-0.14987498749374936,1,0.0
6,2023-10-28 00:00:00,2024-07-03 00:00:00,2024-07-04 00:00:00,2024-09-01 00:00:00,25,60,0.8312622255616451,-0.2995502248875346,-2.066684891481516,-0.14982503748124146,1,0.0
7,2023-12-27 00:00:00,2024-09-01 00:00:00,2024-09-02 00:00:00,2024-10-31 00:00:00,15,60,0.9682918879300229,-0.29965002501248816,-2.066684891481516,-0.14987498749373118,1,0.0
8,2024-02-25 00:00:00,2024-10-31 00:00:00,2024-11-01 00:00:00,2024-12-30 00:00:00,15,50,0.5527273457408994,-0.9466940587858335,-2.420228898744654,-0.9466940587858335,1,0.0
