Stratégie,Rendement (%),Trades,Win Rate (%),Profit Factor,Max DD (%),Sharpe
Combined Strategy,4.218288784054494,34,44.11764705882353,1.4289325667844428,-11.729115923101944,0.3207137488392926
MA Crossover (20/50),-0.9795419169126398,1,0.0,0.0,-0.9795419169126398,-0.9656720497185551
MACD Strategy (12/26/9),-4.794984958152163,1,0.0,0.0,-4.794984958152163,-1.1136828868011972
"RSI Strategy (14, 30/70)",-17.96261945540815,27,37.03703703703704,0.6032426463777825,-23.192547071300133,-1.3235873908537459
"Bollinger Bands (20, 2σ)",-18.090007758704168,24,29.166666666666668,0.4815573588112404,-20.360721747959627,-1.3534431166982615
