fast_period,slow_period,total_return_pct,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_capital
30,100,2.459471038124484,0.552515168499033,-0.14987498749373118,100.0,inf,1,10245.947103812448
10,100,2.459471038124484,0.552515168499033,-0.14987498749373118,100.0,inf,1,10245.947103812448
20,100,2.459471038124484,0.552515168499033,-0.14987498749373118,100.0,inf,1,10245.947103812448
15,100,2.459471038124484,0.552515168499033,-0.14987498749373118,100.0,inf,1,10245.947103812448
25,100,2.459471038124484,0.552515168499033,-0.14987498749373118,100.0,inf,1,10245.947103812448
